DATE,PERSON_NUMBER
2022-03-27 18:27:00,0
2022-03-27 18:29:00,1
2022-03-27 19:50:00,0
2022-03-27 19:52:00,1
2022-03-27 20:40:00,0
2022-03-28 07:40:00,1
2022-03-28 08:45:00,2
2022-03-28 08:58:00,3
2022-03-28 10:16:00,4
2022-03-28 10:28:00,5
2022-03-28 10:29:00,4
2022-03-28 10:30:00,3
2022-03-28 10:31:00,2
2022-03-28 10:47:00,3
2022-03-28 10:47:00,4
2022-03-28 11:31:00,3
2022-03-28 11:35:00,4
2022-03-28 11:52:00,3
2022-03-28 11:54:00,4
2022-03-28 12:03:00,3
2022-03-28 12:03:00,2
2022-03-28 12:32:00,1
2022-03-28 12:45:00,2
2022-03-28 13:03:00,3
2022-03-28 13:03:00,4
2022-03-28 13:34:00,3
2022-03-28 13:39:00,4
2022-03-28 14:01:00,3
2022-03-28 14:02:00,4
2022-03-28 14:08:00,3
2022-03-28 14:10:00,4
2022-03-28 14:15:00,3
2022-03-28 15:03:00,2
2022-03-28 15:06:00,3
2022-03-28 15:20:00,4
2022-03-28 15:35:00,3
2022-03-28 15:38:00,4
2022-03-28 15:46:00,5
2022-03-28 15:56:00,4
2022-03-28 15:58:00,5
2022-03-28 16:14:00,4
2022-03-28 16:23:00,5
2022-03-28 16:26:00,6
2022-03-28 16:52:00,5
2022-03-28 17:02:00,6
2022-03-28 17:27:00,5
2022-03-28 18:01:00,4
2022-03-28 18:02:00,3
2022-03-28 18:03:00,4
2022-03-28 18:05:00,3
2022-03-28 18:05:00,2
2022-03-28 18:05:00,3
2022-03-28 18:05:00,2
2022-03-28 18:14:00,1
2022-03-28 18:17:00,2
2022-03-28 18:22:00,3
2022-03-28 18:46:00,4
2022-03-28 18:46:00,5
2022-03-28 19:49:00,4
2022-03-28 19:49:00,3
2022-03-28 19:50:00,2
2022-03-28 19:51:00,3
2022-03-28 19:54:00,2
2022-03-28 19:57:00,3
2022-03-28 19:58:00,2
2022-03-28 19:59:00,3
2022-03-28 20:04:00,4
2022-03-28 20:06:00,5
2022-03-28 20:23:00,4
2022-03-28 20:40:00,3
2022-03-28 20:41:00,4
2022-03-28 20:47:00,3
2022-03-28 20:51:00,4
2022-03-28 20:54:00,3
2022-03-28 21:35:00,2
2022-03-28 21:37:00,3
2022-03-28 21:37:00,2
2022-03-28 21:37:00,3
2022-03-28 21:53:00,2
2022-03-28 22:33:00,1
2022-03-28 22:33:00,0
2022-03-29 07:48:00,1
2022-03-29 09:16:00,2
2022-03-29 09:21:00,1
2022-03-29 09:33:00,2
2022-03-29 10:10:00,1
2022-03-29 10:15:00,2
2022-03-29 10:17:00,1
2022-03-29 10:28:00,2
2022-03-29 10:29:00,3
2022-03-29 11:21:00,2
2022-03-29 11:24:00,3
2022-03-29 11:48:00,4
2022-03-29 11:58:00,3
2022-03-29 11:58:00,2
2022-03-29 11:58:00,1
2022-03-29 12:03:00,0
2022-03-29 12:54:00,1
2022-03-29 12:54:00,2
2022-03-29 12:54:00,3
2022-03-29 12:57:00,2
2022-03-29 12:59:00,3
2022-03-29 13:27:00,4
2022-03-29 13:58:00,3
2022-03-29 14:09:00,4
2022-03-29 14:46:00,3
2022-03-29 14:49:00,2
2022-03-29 14:57:00,3
2022-03-29 15:46:00,2
2022-03-29 15:48:00,3
2022-03-29 15:50:00,2
2022-03-29 15:53:00,3
2022-03-29 15:56:00,2
2022-03-29 16:21:00,3
2022-03-29 17:02:00,2
2022-03-29 17:04:00,3
2022-03-29 17:22:00,2
2022-03-29 17:22:00,1
2022-03-29 18:25:00,2
2022-03-29 18:25:00,3
2022-03-29 18:46:00,2
2022-03-29 18:46:00,1
2022-03-29 18:47:00,0
2022-03-29 18:49:00,1
2022-03-29 18:49:00,2
2022-03-29 18:49:00,3
2022-03-29 19:32:00,2
2022-03-29 19:33:00,1
2022-03-29 19:34:00,2
2022-03-29 19:36:00,3
2022-03-29 19:54:00,2
2022-03-29 20:08:00,3
2022-03-29 20:13:00,2
2022-03-29 20:15:00,3
2022-03-29 20:26:00,2
2022-03-29 20:29:00,3
2022-03-29 21:37:00,2
2022-03-29 21:37:00,3
2022-03-29 23:02:00,2
2022-03-29 23:04:00,3
2022-03-29 23:17:00,2
2022-03-29 23:42:00,1
2022-03-29 23:42:00,0
2022-03-30 08:14:00,1
2022-03-30 08:40:00,0
2022-03-30 08:48:00,1
2022-03-30 08:53:00,2
2022-03-30 08:57:00,3
2022-03-30 08:59:00,4
2022-03-30 09:28:00,3
2022-03-30 09:30:00,4
2022-03-30 09:32:00,3
2022-03-30 09:35:00,4
2022-03-30 10:10:00,3
2022-03-30 10:15:00,2
2022-03-30 11:10:00,1
2022-03-30 11:20:00,2
2022-03-30 12:08:00,1
2022-03-30 12:08:00,0
2022-03-30 12:15:00,1
2022-03-30 12:15:00,2
2022-03-30 12:36:00,3
2022-03-30 12:52:00,2
2022-03-30 12:52:00,1
2022-03-30 12:54:00,2
2022-03-30 12:54:00,3
2022-03-30 13:18:00,2
2022-03-30 13:29:00,3
2022-03-30 13:30:00,4
2022-03-30 13:40:00,3
2022-03-30 13:41:00,4
2022-03-30 14:01:00,3
2022-03-30 14:15:00,4
2022-03-30 15:43:00,3
2022-03-30 15:56:00,4
2022-03-30 15:57:00,3
2022-03-30 15:59:00,4
2022-03-30 16:00:00,3
2022-03-30 16:04:00,4
2022-03-30 17:19:00,3
2022-03-30 17:20:00,4
2022-03-30 17:21:00,3
2022-03-30 17:24:00,4
2022-03-30 17:35:00,3
2022-03-30 17:53:00,2
2022-03-30 18:07:00,3
2022-03-30 18:48:00,2
2022-03-30 18:48:00,1
2022-03-30 19:53:00,0
2022-03-31 09:15:00,1
2022-03-31 09:15:00,0
2022-03-31 09:24:00,1
2022-03-31 10:06:00,2
2022-03-31 10:11:00,3
2022-03-31 10:14:00,2
2022-03-31 10:45:00,3
2022-03-31 11:13:00,4
2022-03-31 11:28:00,5
2022-03-31 11:55:00,4
2022-03-31 11:55:00,3
2022-03-31 11:55:00,2
2022-03-31 11:55:00,1
2022-03-31 12:00:00,0
2022-03-31 12:03:00,1
2022-03-31 12:45:00,0
2022-03-31 12:50:00,1
2022-03-31 13:01:00,2
2022-03-31 13:01:00,3
2022-03-31 13:01:00,4
2022-03-31 13:01:00,5
2022-03-31 13:02:00,4
2022-03-31 13:04:00,5
2022-03-31 13:33:00,6
2022-03-31 13:33:00,5
2022-03-31 13:34:00,4
2022-03-31 13:39:00,5
2022-03-31 13:50:00,4
2022-03-31 13:50:00,5
2022-03-31 13:50:00,4
2022-03-31 13:54:00,3
2022-03-31 13:56:00,2
2022-03-31 13:57:00,3
2022-03-31 13:59:00,4
2022-03-31 14:07:00,5
2022-03-31 14:41:00,4
2022-03-31 15:33:00,3
2022-03-31 15:41:00,4
2022-03-31 16:04:00,3
2022-03-31 16:06:00,4
2022-03-31 16:10:00,3
2022-03-31 16:23:00,4
2022-03-31 16:24:00,3
2022-03-31 16:24:00,2
2022-03-31 16:26:00,3
2022-03-31 16:34:00,4
2022-03-31 16:38:00,5
2022-03-31 17:30:00,4
2022-03-31 17:38:00,5
2022-03-31 17:40:00,4
2022-03-31 17:52:00,3
2022-03-31 17:54:00,4
2022-03-31 17:58:00,3
2022-03-31 18:00:00,4
2022-03-31 18:02:00,3
2022-03-31 18:02:00,2
2022-03-31 18:02:00,1
2022-03-31 18:12:00,0
2022-03-31 18:16:00,1
2022-03-31 18:21:00,2
2022-03-31 18:21:00,3
2022-03-31 18:21:00,4
2022-03-31 18:30:00,3
2022-03-31 18:30:00,4
2022-03-31 19:00:00,3
2022-03-31 19:00:00,4
2022-03-31 19:01:00,5
2022-03-31 19:01:00,4
2022-03-31 19:01:00,5
2022-03-31 19:01:00,4
2022-03-31 19:01:00,5
2022-03-31 19:01:00,6
2022-03-31 19:01:00,5
2022-03-31 19:01:00,6
2022-03-31 19:02:00,5
2022-03-31 19:02:00,4
2022-03-31 19:02:00,3
2022-03-31 19:03:00,4
2022-03-31 19:03:00,5
2022-03-31 19:03:00,4
2022-03-31 19:04:00,5
2022-03-31 19:04:00,4
2022-03-31 19:04:00,5
2022-03-31 19:04:00,4
2022-03-31 19:06:00,5
2022-03-31 19:06:00,4
2022-03-31 19:06:00,5
2022-03-31 19:06:00,4
2022-03-31 19:07:00,5
2022-03-31 19:08:00,4
2022-03-31 19:08:00,3
2022-03-31 19:08:00,4
2022-03-31 19:10:00,3
2022-03-31 19:23:00,4
2022-03-31 20:22:00,3
2022-03-31 20:24:00,4
2022-03-31 21:17:00,3
2022-03-31 21:26:00,4
2022-03-31 22:04:00,3
2022-03-31 22:06:00,4
2022-03-31 22:12:00,3
2022-03-31 22:17:00,2
2022-03-31 22:17:00,1
2022-03-31 22:59:00,0
2022-04-01 09:36:00,1
2022-04-01 09:43:00,2
2022-04-01 09:55:00,1
2022-04-01 09:56:00,2
2022-04-01 10:15:00,1
2022-04-01 10:16:00,2
2022-04-01 10:24:00,3
2022-04-01 10:35:00,2
2022-04-01 10:38:00,3
2022-04-01 10:38:00,2
2022-04-01 10:38:00,1
2022-04-01 10:44:00,2
2022-04-01 10:46:00,3
2022-04-01 10:51:00,4
2022-04-01 10:55:00,5
2022-04-01 11:46:00,4
2022-04-01 11:57:00,5
2022-04-01 11:58:00,4
2022-04-01 12:00:00,5
2022-04-01 12:20:00,4
2022-04-01 12:20:00,3
2022-04-01 12:20:00,2
2022-04-01 12:20:00,1
2022-04-01 13:05:00,0
2022-04-01 13:08:00,1
2022-04-01 13:22:00,2
2022-04-01 13:22:00,3
2022-04-01 13:22:00,4
2022-04-01 13:22:00,5
2022-04-01 13:34:00,4
2022-04-01 13:36:00,3
2022-04-01 13:37:00,4
2022-04-01 13:43:00,3
2022-04-01 13:45:00,2
2022-04-01 13:47:00,3
2022-04-01 13:48:00,2
2022-04-01 13:48:00,1
2022-04-01 13:48:00,0
2022-04-01 14:08:00,1
2022-04-01 14:08:00,2
2022-04-01 14:08:00,3
2022-04-01 14:08:00,4
2022-04-01 14:14:00,5
2022-04-01 14:17:00,4
2022-04-01 15:17:00,3
2022-04-01 15:29:00,4
2022-04-01 15:33:00,3
2022-04-01 15:33:00,4
2022-04-01 15:34:00,3
2022-04-01 15:36:00,4
2022-04-01 15:37:00,5
2022-04-01 16:00:00,4
2022-04-01 16:01:00,5
2022-04-01 16:02:00,4
2022-04-01 16:05:00,3
2022-04-01 16:06:00,4
2022-04-01 16:07:00,3
2022-04-01 16:11:00,4
2022-04-01 16:40:00,3
2022-04-01 16:52:00,4
2022-04-01 16:53:00,3
2022-04-01 17:08:00,2
2022-04-01 17:11:00,3
2022-04-01 17:33:00,2
2022-04-01 17:37:00,3
2022-04-01 17:46:00,2
2022-04-01 18:14:00,1
2022-04-01 18:25:00,0
2022-04-01 18:25:00,1
2022-04-01 18:46:00,0
2022-04-01 18:48:00,1
2022-04-01 18:50:00,0
2022-04-01 19:08:00,1
2022-04-01 19:26:00,2
2022-04-01 19:26:00,3
2022-04-01 19:37:00,2
2022-04-01 19:40:00,3
2022-04-01 20:48:00,2
2022-04-01 20:55:00,1
2022-04-01 20:57:00,2
2022-04-01 20:57:00,3
2022-04-01 22:00:00,2
2022-04-01 22:37:00,1
2022-04-01 22:37:00,0
2022-04-02 10:23:00,1
