Real,Pred
28.0,26.214848
28.079999999999995,26.256973
28.179999999999996,26.270996
28.359999999999996,26.270594
28.54,26.244453
28.679999999999996,26.18884
28.679999999999996,26.141254
28.659999999999997,26.111824
28.639999999999993,26.12201
28.93999999999999,26.13398
29.099999999999994,26.117922
29.019999999999992,26.086554
28.639999999999997,26.057898
28.599999999999994,26.047579
28.359999999999992,26.06854
28.259999999999998,26.091127
28.119999999999994,26.113476
27.879999999999995,26.141523
28.019999999999992,26.135569
27.899999999999995,26.109125
27.779999999999994,26.094973
27.979999999999997,26.08942
28.099999999999994,26.091845
28.099999999999994,26.00713
28.04,25.877314
28.04,25.76999
28.339999999999996,25.665684
28.479999999999997,25.559107
28.659999999999997,25.483463
28.679999999999996,25.488703
28.659999999999997,25.543283
28.379999999999995,25.644487
28.419999999999998,25.798008
28.299999999999994,26.068037
28.279999999999994,26.390676
28.079999999999995,26.713331
27.799999999999994,27.039791
27.679999999999996,27.336477
27.319999999999993,27.54989
26.959999999999997,27.50496
26.839999999999993,27.409739
26.819999999999993,27.252039
26.679999999999996,27.049553
26.359999999999996,26.827593
26.259999999999998,26.615923
26.399999999999995,26.394178
26.199999999999996,26.171797
25.999999999999993,25.978676
25.979999999999997,25.806494
26.299999999999994,25.872335
26.079999999999995,25.942863
25.899999999999995,26.019732
25.82,26.09531
25.939999999999998,26.163715
26.119999999999994,26.234827
25.779999999999994,26.313787
25.71999999999999,26.395315
